Full Name,Quote,Related Tags,Born Date,Country,State,City,Biography
Ernest Hemingway,“There is no friend as loyal as a book.”,"books, friends, novelist-quotes","July 21, 1899",The United States,Illois,Oak Park,Ernest Miller Hemingway was an American author and journalist. His economical and understated style 
Helen Keller,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",inspirational,"June 27, 1880",The United States,Alabama,Tuscumbia,Helen Keller would not be bound by conditions. Rendered deaf and blind at 19 months by scarlet fever
George Bernard Shaw,“Life isn't about finding yourself. Life is about creating yourself.”,"inspirational, life, yourself","July 26, 1856",Ireland,Unknown,Dubl,"George Bernard Shaw was an Irish playwright, socialist, and a co-founder of the London School of Eco"
Charles Bukowski,"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",alcohol,"August 16, 1920",Germany,Unknown,Andernach,"Henry Charles Bukowski (born as Heinrich Karl Bukowski) was a German-born American poet, novelist an"
Suzanne Collins,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",humor,"August 11, 1962",The United States,Connecticut,Hartford,"Librarian Note: There is more than one author in the Goodreads database with this name.Since 1991, S"
C.S. Lewis,"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",love,"November 29, 1898",Ireland,Unknown,Belfast,CLIVE STAPLES LEWIS (1898–1963) was one of the intellectual giants of the twentieth century and argu
J.R.R. Tolkien,“Not all those who wander are lost.”,"bilbo, journey, lost, quest, travel, wander","January 03, 1892",South Africa,Mangaung,Bloemfonte,"John Ronald Reuel Tolkien, CBE, was an English writer, poet, WWI veteran (a First Lieutenant in the "
J.K. Rowling,"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",live-death-love,"July 31, 1965",The United Kgdom,South Gloucestershire,Yate,"See also: Robert GalbraithAlthough she writes under the pen name J.K. Rowling, pronounced like rolli"
Ernest Hemingway,“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,"good, writing","July 21, 1899",The United States,Illois,Oak Park,Ernest Miller Hemingway was an American author and journalist. His economical and understated style 
Ralph Waldo Emerson,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,"life, regrets","May 25, 1803",The United States,Massachusetts,Boston,"in 1803, Ralph Waldo Emerson was born in Boston. Educated at Harvard and the Cambridge Divinity Scho"
Mark Twain,“I have never let my schooling interfere with my education.”,education,"November 30, 1835",The United States,Missouri,Florida,"Samuel Langhorne Clemens, better known by his pen name Mark Twain, was an American author and humori"
Dr. Seuss,“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,troubles,"March 02, 1904",The United States,MA,Sprgfield,"Theodor Seuss Geisel was born 2 March 1904 in Springfield, MA. He graduated Dartmouth College in 192"
Alfred Tennyson,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,"friendship, love","August 06, 1809",The United Kgdom,Lcolnshire,Somersby,"Alfred Tennyson was born in Somersby, Lincolnshire, the fourth of the twelve children of George Tenn"
Charles Bukowski,“Some people never go crazy. What truly horrible lives they must lead.”,humor,"August 16, 1920",Germany,Unknown,Andernach,"Henry Charles Bukowski (born as Heinrich Karl Bukowski) was a German-born American poet, novelist an"
Terry Pratchett,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”","humor, open-mind, thinking","April 28, 1948",The United Kgdom,Buckghamshire,Beaconsfield,"Sir Terry Pratchett sold his first story when he was thirteen, which earned him enough money to buy "
Dr. Seuss,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”","humor, philosophy","March 02, 1904",The United States,MA,Sprgfield,"Theodor Seuss Geisel was born 2 March 1904 in Springfield, MA. He graduated Dartmouth College in 192"
J.D. Salinger,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”","authors, books, literature, reading, writing","January 01, 1919",The United States,New York,Manhattan,"Jerome David Salinger was an American author, best known for his 1951 novel The Catcher in the Rye, "
George Carlin,“The reason I talk to myself is because I’m the only one whose answers I accept.”,"humor, insanity, lies, lying, self-indulgence, truth","May 12, 1937",The United States,New York,New York,"George Denis Patrick Carlin was a Grammy-winning American stand-up comedian, actor, author, and phil"
John Lennon,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”","beatles, connection, dreamers, dreaming, dreams, hope, inspirational, peace","October 09, 1940",The United Kgdom,England,Liverpool,"John Winston Ono Lennon, MBE, was an English singer-songwriter who rose to worldwide fame as one of "
W.C. Fields,“I am free of all prejudice. I hate everyone equally. ”,"humor, sinister","January 29, 1880",The United States,Pennsylvania,Darby,"W. C. Fields was born William Claude Dukenfield, the eldest of five children. Field's parents were a"
Mark Twain,“′Classic′ - a book which people praise and don't read.”,"books, classic, reading","November 30, 1835",The United States,Missouri,Florida,"Samuel Langhorne Clemens, better known by his pen name Mark Twain, was an American author and humori"
Albert Einstein,“Anyone who has never made a mistake has never tried anything new.”,mistakes,"March 14, 1879",Germany,Unknown,Ulm,"In 1879, Albert Einstein was born in Ulm, Germany. He completed his Ph.D. at the University of Zuric"
Jane Austen,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”","humor, love, romantic, women","December 16, 1775",The United Kgdom,Hampshire,Steventon Rectory,"Jane Austen was an English novelist whose works of romantic fiction, set among the landed gentry, ea"
J.K. Rowling,"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",integrity,"July 31, 1965",The United Kgdom,South Gloucestershire,Yate,"See also: Robert GalbraithAlthough she writes under the pen name J.K. Rowling, pronounced like rolli"
Jane Austen,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”","books, library, reading","December 16, 1775",The United Kgdom,Hampshire,Steventon Rectory,"Jane Austen was an English novelist whose works of romantic fiction, set among the landed gentry, ea"
Jane Austen,"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”","elizabeth-bennet, jane-austen","December 16, 1775",The United Kgdom,Hampshire,Steventon Rectory,"Jane Austen was an English novelist whose works of romantic fiction, set among the landed gentry, ea"
C.S. Lewis,“Some day you will be old enough to start reading fairy tales again.”,"age, fairytales, growing-up","November 29, 1898",Ireland,Unknown,Belfast,CLIVE STAPLES LEWIS (1898–1963) was one of the intellectual giants of the twentieth century and argu
C.S. Lewis,“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,god,"November 29, 1898",Ireland,Unknown,Belfast,CLIVE STAPLES LEWIS (1898–1963) was one of the intellectual giants of the twentieth century and argu
Mark Twain,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,"death, life","November 30, 1835",The United States,Missouri,Florida,"Samuel Langhorne Clemens, better known by his pen name Mark Twain, was an American author and humori"
